longitude,latitude,elevation
78.65208333,31.79791667,3292.0
78.64791667,31.79375000,3088.0
78.64791667,31.78125000,3350.0
78.63958333,31.77291667,2747.0
78.63958333,31.76458333,2616.0
78.63541667,31.76041667,2503.0
78.63125000,31.76041667,2708.0
78.62291667,31.75208333,2493.0
78.59791667,31.75208333,2636.0
78.59375000,31.75625000,2496.0
78.58958333,31.75625000,2430.0
78.58125000,31.75625000,2576.0
78.56875000,31.74375000,2398.0
78.56458333,31.73958333,2939.0
78.54375000,31.71875000,2414.0
78.54375000,31.71458333,2609.0
78.53958333,31.71458333,2607.0
78.53541667,31.71041667,2478.0
78.53125000,31.70625000,2625.0
78.52708333,31.70208333,2380.0
78.52291667,31.70208333,2585.0
78.51875000,31.69791667,2543.0
78.51458333,31.69791667,2573.0
78.51041667,31.69375000,2425.0
78.50625000,31.69375000,2613.0
78.50208333,31.68958333,2603.0
78.49791667,31.68958333,2663.0
78.48958333,31.68125000,2443.0
78.48541667,31.68125000,2637.0
78.47708333,31.67291667,2338.0
78.47708333,31.66875000,2469.0
78.47291667,31.66875000,2321.0
78.46875000,31.66458333,2362.0
78.46458333,31.66458333,2330.0
78.46041667,31.66875000,2431.0
78.45208333,31.66875000,2505.0
78.44791667,31.66458333,2307.0
78.44791667,31.66041667,2418.0
78.44375000,31.65625000,2275.0
78.44375000,31.64375000,2334.0
78.43125000,31.63125000,2326.0
78.43125000,31.62708333,2286.0
78.43541667,31.62291667,2355.0
78.43541667,31.61875000,2267.0
78.43958333,31.61458333,2389.0
78.43958333,31.60208333,2261.0
78.43958333,31.59791667,2284.0
78.44375000,31.59375000,2363.0
78.44375000,31.58541667,2254.0
78.43958333,31.58125000,2318.0
78.43541667,31.57708333,2279.0
78.43125000,31.58125000,2265.0
78.40208333,31.58125000,2213.0
78.37708333,31.58125000,2204.0
78.37291667,31.58541667,2147.0
78.36458333,31.59375000,2125.0
78.35625000,31.59375000,2254.0
78.35208333,31.59791667,2254.0
78.34375000,31.59791667,2126.0
78.33958333,31.60208333,2216.0
78.31458333,31.60208333,2327.0
78.31041667,31.59791667,2133.0
78.30208333,31.59791667,2119.0
78.29791667,31.59375000,2115.0
78.29375000,31.59375000,2053.0
78.28958333,31.58958333,1980.0
78.28958333,31.58541667,2117.0
78.28541667,31.58125000,2064.0
78.28541667,31.57708333,2168.0
78.27708333,31.56875000,1960.0
78.27708333,31.56041667,2005.0
78.28125000,31.55625000,1959.0
78.28125000,31.54791667,2083.0
78.27708333,31.54375000,2066.0
78.28125000,31.53958333,2055.0
78.28125000,31.52708333,1965.0
78.27708333,31.52291667,1938.0
78.27291667,31.51875000,1908.0
78.26875000,31.51875000,1977.0
78.26458333,31.51875000,2118.0
78.26041667,31.51458333,2033.0
78.24791667,31.51458333,2018.0
78.24375000,31.51041667,1906.0
78.23958333,31.51041667,2081.0
78.23541667,31.50625000,1851.0
78.23125000,31.50625000,2088.0
78.22291667,31.49791667,1871.0
78.18125000,31.49791667,1812.0
78.16875000,31.51041667,1784.0
78.16458333,31.51041667,1845.0
78.16041667,31.51458333,1859.0
78.15208333,31.51458333,1820.0
78.14791667,31.51875000,1807.0
78.13958333,31.51875000,1779.0
78.13125000,31.51875000,1714.0
78.12708333,31.51458333,1833.0
78.09791667,31.51458333,1809.0
78.09375000,31.51875000,1656.0
78.08958333,31.51875000,1770.0
78.08541667,31.52291667,1713.0
78.05625000,31.52291667,1669.0
78.03958333,31.53958333,1732.0
78.03541667,31.53958333,1612.0
78.03125000,31.54375000,1711.0
78.02708333,31.54375000,1711.0
78.02291667,31.53958333,1575.0
78.01458333,31.53958333,1571.0
78.00208333,31.55208333,1542.0
77.98958333,31.56458333,1677.0
77.95208333,31.56458333,1474.0
77.94791667,31.56875000,1459.0
77.93541667,31.56875000,1462.0
77.92708333,31.56875000,1535.0
77.92291667,31.56458333,1608.0
77.91041667,31.56458333,1903.0
77.89791667,31.57708333,2159.0
77.89375000,31.57708333,2062.0
77.88958333,31.57291667,1949.0
77.88541667,31.57291667,1889.0
77.87708333,31.56458333,1315.0
77.87291667,31.56875000,1467.0
77.86875000,31.56875000,1372.0
77.86458333,31.57291667,1365.0
77.86041667,31.57291667,1386.0
77.85625000,31.57708333,1285.0
77.85208333,31.58125000,1525.0
77.84375000,31.57291667,1309.0
77.83958333,31.57291667,1463.0
77.83541667,31.57291667,1442.0
77.83125000,31.56875000,1392.0
77.81041667,31.54791667,1299.0
77.78541667,31.54791667,1221.0
77.77708333,31.53958333,1183.0
77.77708333,31.53541667,1181.0
77.77291667,31.53125000,1119.0
77.76458333,31.52291667,1203.0
77.76041667,31.52291667,1198.0
77.75625000,31.51875000,1258.0
77.74791667,31.51875000,1239.0
77.73958333,31.51041667,1153.0
77.73125000,31.51041667,1143.0
77.72708333,31.50625000,1093.0
77.72291667,31.50625000,1150.0
77.71041667,31.50625000,1240.0
77.70625000,31.50208333,1117.0
77.70625000,31.49791667,1099.0
77.70208333,31.49791667,1086.0
77.69791667,31.49375000,1067.0
77.69375000,31.49375000,1261.0
77.68958333,31.48958333,1037.0
77.68541667,31.48541667,1004.0
77.68125000,31.48125000,1025.0
77.68125000,31.47708333,986.0
77.67291667,31.46875000,1061.0
77.67291667,31.46458333,994.0
77.66875000,31.46041667,1064.0
77.65625000,31.46041667,1088.0
77.65208333,31.45625000,971.0
77.63958333,31.45625000,944.0
77.63541667,31.45208333,1023.0
77.63125000,31.45208333,944.0
77.62708333,31.44791667,1008.0
77.62708333,31.43958333,960.0
77.62291667,31.43541667,955.0
77.62291667,31.41458333,930.0
77.63125000,31.40625000,975.0
77.63125000,31.39375000,891.0
77.62708333,31.38958333,884.0
77.61458333,31.38958333,918.0
77.60625000,31.39791667,882.0
77.58125000,31.39791667,867.0
77.57708333,31.39375000,877.0
77.57291667,31.38958333,860.0
77.55208333,31.38958333,855.0
77.54791667,31.38541667,848.0
77.54375000,31.38125000,870.0
77.54375000,31.37291667,834.0
77.53541667,31.36458333,890.0
77.53541667,31.36041667,913.0
77.52708333,31.35208333,862.0
77.52291667,31.35208333,865.0
77.51875000,31.34791667,833.0
77.50625000,31.34791667,809.0
77.49791667,31.35625000,832.0
77.49375000,31.35625000,832.0
77.48125000,31.35625000,830.0
77.47708333,31.35208333,805.0
77.45625000,31.35208333,827.0
77.45208333,31.34791667,850.0
77.44375000,31.34791667,1024.0
77.43958333,31.34791667,1062.0
77.43125000,31.33958333,801.0
77.42708333,31.34375000,775.0
77.42291667,31.34375000,825.0
77.41875000,31.34791667,762.0
77.41458333,31.34791667,887.0
77.40208333,31.36041667,797.0
77.39791667,31.36041667,830.0
77.39375000,31.35625000,758.0
77.38958333,31.35625000,753.0
77.38541667,31.36041667,759.0
77.36875000,31.36041667,769.0
77.36458333,31.35625000,745.0
77.36041667,31.35625000,807.0
77.35625000,31.35208333,738.0
77.35625000,31.34375000,964.0
77.35208333,31.33958333,874.0
77.34791667,31.33541667,869.0
77.34791667,31.33125000,1029.0
77.34375000,31.32708333,749.0
77.34375000,31.32291667,804.0
77.33958333,31.31875000,714.0
77.33958333,31.31458333,903.0
77.33958333,31.30625000,868.0
77.33541667,31.30208333,745.0
77.33541667,31.29791667,718.0
77.33125000,31.29375000,794.0
77.32291667,31.29375000,809.0
77.31875000,31.28958333,790.0
77.31875000,31.28541667,727.0
77.31041667,31.27708333,831.0
77.30208333,31.26875000,808.0
77.29791667,31.26875000,888.0
77.28541667,31.26875000,793.0
77.28125000,31.26458333,733.0
77.27708333,31.26875000,787.0
77.27291667,31.27291667,687.0
77.26875000,31.27291667,692.0
77.26041667,31.26458333,680.0
77.25625000,31.26458333,784.0
77.24375000,31.25208333,672.0
77.23958333,31.25625000,678.0
77.23541667,31.25625000,732.0
77.23125000,31.26041667,741.0
77.22291667,31.26041667,668.0
77.21458333,31.25208333,732.0
77.20625000,31.24375000,731.0
77.19791667,31.24375000,755.0
77.18958333,31.25208333,691.0
77.18541667,31.25208333,682.0
77.18125000,31.24791667,654.0
77.16458333,31.23125000,641.0
77.13958333,31.23125000,682.0
77.13541667,31.22708333,682.0
77.13125000,31.22708333,726.0
77.12708333,31.23125000,718.0
77.12291667,31.23125000,636.0
77.12291667,31.23958333,669.0
77.12708333,31.24375000,635.0
77.12291667,31.24791667,646.0
77.11458333,31.24791667,671.0
77.11041667,31.24375000,658.0
77.10625000,31.24791667,627.0
77.08125000,31.24791667,626.0
77.06875000,31.26041667,688.0
77.06458333,31.26041667,666.0
77.06041667,31.26458333,759.0
77.05625000,31.26875000,749.0
77.03958333,31.26875000,618.0
77.03541667,31.27291667,728.0
77.03125000,31.27291667,593.0
77.01458333,31.28958333,691.0
77.01041667,31.28958333,627.0
77.00208333,31.29791667,607.0
76.99791667,31.29791667,660.0
76.98958333,31.30625000,737.0
76.98541667,31.30625000,575.0
76.98125000,31.31041667,747.0
76.97708333,31.31041667,568.0
76.97291667,31.31458333,704.0
76.96041667,31.32708333,623.0
76.95625000,31.32708333,583.0
76.94791667,31.33541667,640.0
76.94375000,31.33958333,548.0
76.94375000,31.34375000,556.0
76.93125000,31.35625000,553.0
76.92291667,31.36458333,553.0
76.91041667,31.36458333,787.0
76.90625000,31.36041667,660.0
76.90208333,31.36458333,612.0
76.89791667,31.36041667,568.0
76.88958333,31.36041667,604.0
76.88125000,31.35208333,572.0
76.87708333,31.35208333,598.0
76.87291667,31.35625000,554.0
76.87708333,31.36041667,588.0
76.87291667,31.36458333,579.0
76.87291667,31.36875000,520.0
76.86458333,31.37708333,538.0
76.86458333,31.38125000,543.0
76.86875000,31.38541667,642.0
76.87291667,31.38125000,522.0
76.87708333,31.38125000,515.0
76.88125000,31.38541667,515.0
76.88125000,31.40625000,634.0
76.87291667,31.41458333,534.0
76.86875000,31.41458333,625.0
76.86458333,31.41041667,512.0
76.85208333,31.41041667,518.0
76.84791667,31.41458333,564.0
76.84375000,31.41458333,531.0
76.83541667,31.42291667,575.0
76.83125000,31.42291667,519.0
76.82708333,31.42291667,513.0
76.82291667,31.41875000,496.0
76.81875000,31.41875000,508.0
76.81458333,31.42291667,507.0
76.80208333,31.42291667,536.0
76.79791667,31.41875000,484.0
76.79791667,31.41041667,496.0
76.80208333,31.40625000,527.0
76.79791667,31.40208333,496.0
76.79375000,31.40208333,530.0
76.78958333,31.40625000,553.0
76.76458333,31.40625000,529.0
76.76041667,31.40208333,487.0
76.76041667,31.39791667,506.0
76.74791667,31.38541667,496.0
76.73958333,31.38541667,484.0
76.73541667,31.38541667,486.0
76.72708333,31.37708333,487.0
76.72708333,31.36875000,483.0
76.72291667,31.36458333,491.0
76.73125000,31.35625000,496.0
76.73958333,31.35625000,511.0
76.74791667,31.34791667,482.0
76.75208333,31.34375000,482.0
76.75208333,31.33541667,483.0
76.74375000,31.32708333,482.0
76.74375000,31.32291667,481.0
76.74791667,31.31875000,481.0
76.74791667,31.30625000,486.0
76.73958333,31.29791667,495.0
76.73125000,31.28958333,481.0
76.72708333,31.28958333,546.0
76.72291667,31.29375000,499.0
76.71458333,31.30208333,536.0
76.69791667,31.30208333,481.0
76.69375000,31.29791667,482.0
76.69375000,31.28541667,481.0
76.69791667,31.28125000,481.0
76.69791667,31.27708333,492.0
76.69375000,31.27291667,481.0
76.69375000,31.26875000,481.0
76.68125000,31.25625000,481.0
76.67708333,31.25625000,548.0
76.67291667,31.25208333,487.0
76.65208333,31.25208333,483.0
76.64375000,31.26041667,481.0
76.63958333,31.26041667,496.0
76.63125000,31.26875000,481.0
76.62708333,31.26875000,481.0
76.62291667,31.26458333,481.0
76.61458333,31.27291667,481.0
76.61458333,31.28541667,481.0
76.61041667,31.28958333,481.0
76.60625000,31.28958333,481.0
76.55625000,31.33958333,481.0
76.55208333,31.33958333,481.0
76.53125000,31.36041667,481.0
76.52708333,31.36041667,489.0
76.51875000,31.36875000,481.0
76.51458333,31.36875000,481.0
76.48541667,31.39791667,481.0
