longitude,latitude,elevation
84.26041667,28.54375000,3187.0
84.26458333,28.54791667,2761.0
84.27291667,28.54791667,3020.0
84.27708333,28.54791667,2951.0
84.28125000,28.54791667,2771.0
84.29375000,28.54791667,2510.0
84.29791667,28.54375000,2648.0
84.30208333,28.54375000,2377.0
84.30625000,28.53958333,2484.0
84.31041667,28.53541667,2571.0
84.31875000,28.52708333,2355.0
84.32708333,28.52708333,2568.0
84.33125000,28.53125000,2220.0
84.35208333,28.53125000,2109.0
84.36041667,28.52291667,2190.0
84.37291667,28.51041667,2630.0
84.37708333,28.50625000,2956.0
84.37708333,28.50208333,3094.0
84.37291667,28.49791667,2817.0
84.37291667,28.48541667,2192.0
84.37291667,28.48125000,2216.0
84.38125000,28.47291667,2108.0
84.38125000,28.44791667,1866.0
84.38541667,28.44791667,2044.0
84.39375000,28.43958333,1933.0
84.39791667,28.43541667,1640.0
84.39791667,28.43125000,1555.0
84.41041667,28.41875000,1528.0
84.41041667,28.41041667,1448.0
84.41041667,28.40208333,1198.0
84.40625000,28.39791667,1190.0
84.40625000,28.39375000,1137.0
84.40208333,28.38958333,1188.0
84.40208333,28.38541667,1085.0
84.40208333,28.37708333,1073.0
84.40208333,28.37291667,1064.0
84.40625000,28.36875000,1176.0
84.40625000,28.36458333,1160.0
84.40625000,28.36041667,1116.0
84.40208333,28.35625000,1112.0
84.40625000,28.35208333,1041.0
84.39791667,28.34375000,1005.0
84.39791667,28.33125000,1003.0
84.39791667,28.32708333,962.0
84.40208333,28.32291667,973.0
84.40208333,28.31458333,929.0
84.39791667,28.31041667,931.0
84.38958333,28.30208333,891.0
84.38541667,28.29791667,843.0
84.38125000,28.29791667,847.0
84.37291667,28.28958333,868.0
84.36458333,28.28958333,810.0
84.36041667,28.28541667,812.0
84.36041667,28.28125000,793.0
84.36041667,28.27708333,790.0
84.36458333,28.27291667,852.0
84.36458333,28.26458333,759.0
84.36458333,28.26041667,758.0
84.36875000,28.25625000,764.0
84.37291667,28.25208333,744.0
84.37291667,28.24791667,739.0
84.37708333,28.24375000,733.0
84.37708333,28.23958333,706.0
84.38125000,28.23541667,695.0
84.38958333,28.22708333,738.0
84.38958333,28.21875000,666.0
84.39791667,28.21041667,652.0
84.40208333,28.20625000,712.0
84.40208333,28.20208333,638.0
84.40625000,28.19791667,622.0
84.41041667,28.19375000,646.0
84.41458333,28.19375000,630.0
84.41875000,28.18958333,612.0
84.42291667,28.18958333,644.0
84.42708333,28.18541667,619.0
84.43125000,28.18541667,644.0
84.43958333,28.17708333,628.0
84.43958333,28.17291667,600.0
84.44375000,28.16875000,600.0
84.44375000,28.15625000,569.0
84.44375000,28.14791667,550.0
84.44375000,28.14375000,627.0
84.43958333,28.13958333,545.0
84.43958333,28.13125000,595.0
84.43541667,28.12708333,511.0
84.43541667,28.12291667,504.0
84.43125000,28.11875000,513.0
84.43541667,28.11458333,579.0
84.43541667,28.11041667,536.0
84.44375000,28.10208333,489.0
84.45208333,28.09375000,477.0
84.45625000,28.09375000,545.0
84.46041667,28.08958333,555.0
84.46041667,28.08541667,480.0
84.46875000,28.07708333,526.0
84.46875000,28.07291667,461.0
84.47708333,28.06458333,470.0
84.47708333,28.05625000,432.0
84.46458333,28.04375000,421.0
84.46458333,28.03541667,444.0
84.46458333,28.03125000,441.0
84.46041667,28.02708333,434.0
84.46041667,28.01458333,417.0
84.45625000,28.01041667,459.0
84.45625000,28.00625000,399.0
84.44791667,27.99791667,414.0
84.43958333,27.98958333,383.0
84.43541667,27.98958333,405.0
84.41875000,27.97291667,374.0
84.41875000,27.96875000,364.0
84.42291667,27.96458333,384.0
84.42291667,27.95625000,360.0
84.42708333,27.95208333,372.0
84.43125000,27.95208333,396.0
84.43541667,27.94791667,375.0
84.45625000,27.94791667,364.0
84.46041667,27.94375000,359.0
84.46875000,27.94375000,383.0
84.47291667,27.93958333,351.0
84.47708333,27.93541667,380.0
84.48541667,27.92708333,354.0
84.48958333,27.92708333,352.0
84.49375000,27.92708333,358.0
84.50208333,27.92708333,409.0
84.50625000,27.92291667,326.0
84.50625000,27.91875000,319.0
84.51041667,27.91458333,317.0
84.52708333,27.91458333,298.0
84.53125000,27.91041667,318.0
84.53125000,27.90625000,336.0
84.53958333,27.89791667,292.0
84.53958333,27.88541667,339.0
84.54375000,27.88125000,320.0
84.53958333,27.87708333,298.0
84.54791667,27.86875000,302.0
84.54791667,27.86458333,247.0
84.56041667,27.85208333,298.0
