longitude,latitude,elevation
77.59792000,31.79792000,2949.40000000
77.59535044,31.79740584,2925.80000000
77.59278088,31.79689168,2906.50000000
77.59021133,31.79637753,2882.20000000
77.58764177,31.79586337,2865.70000000
77.58507221,31.79534921,2846.00000000
77.58250265,31.79483505,2822.90000000
77.57993310,31.79432089,2801.60000000
77.57736354,31.79380674,2789.30000000
77.57475653,31.79345930,2768.00000000
77.57214487,31.79313255,2746.60000000
77.56953321,31.79280580,2729.60000000
77.56692155,31.79247905,2721.30000000
77.56430989,31.79215230,2735.40000000
77.56169823,31.79182555,2745.20000000
77.55908657,31.79149880,2705.30000000
77.55647491,31.79117205,2691.10000000
77.55386326,31.79084529,2626.60000000
77.55125160,31.79051854,2595.80000000
77.54863994,31.79019179,2593.10000000
77.54602828,31.78986504,2584.30000000
77.54341303,31.78958000,2541.30000000
77.54077323,31.78958000,2523.00000000
77.53813343,31.78958000,2512.90000000
77.53549363,31.78958000,2480.20000000
77.53285383,31.78958000,2463.40000000
77.53021403,31.78958000,2460.30000000
77.52757423,31.78958000,2473.80000000
77.52493443,31.78958000,2439.00000000
77.52229463,31.78958000,2417.60000000
77.51965483,31.78958000,2405.10000000
77.51701502,31.78958000,2391.50000000
77.51437522,31.78958000,2366.40000000
77.51173542,31.78958000,2358.90000000
77.50909562,31.78958000,2324.90000000
77.50645582,31.78958000,2304.30000000
77.50381602,31.78958000,2281.40000000
77.50117622,31.78958000,2269.80000000
77.49853642,31.78958000,2255.20000000
77.49589662,31.78958000,2247.00000000
77.49325682,31.78958000,2239.40000000
77.49061702,31.78958000,2230.10000000
77.48797722,31.78958000,2224.60000000
77.48534878,31.78954448,2224.00000000
77.48307206,31.78840885,2224.60000000
77.48079535,31.78727322,2198.90000000
77.47851863,31.78613759,2203.50000000
77.47614766,31.78565281,2189.50000000
77.47361489,31.78628524,2189.50000000
77.47108212,31.78691767,2189.30000000
77.46854935,31.78755010,2146.90000000
77.46601658,31.78818253,2081.20000000
77.46348382,31.78881497,2087.30000000
77.46095105,31.78944740,2165.90000000
77.45906695,31.78823019,2023.20000000
77.45735494,31.78652229,2017.70000000
77.45531393,31.78542000,2007.60000000
77.45267413,31.78542000,1992.60000000
77.45003433,31.78542000,1960.00000000
77.44739453,31.78542000,1963.40000000
77.44475473,31.78542000,1939.90000000
77.44211493,31.78542000,1920.50000000
77.43948964,31.78537477,1929.40000000
77.43721503,31.78423609,1903.40000000
77.43494042,31.78309742,1906.40000000
77.43266580,31.78195875,1871.00000000
77.43025331,31.78125000,1846.50000000
77.42761351,31.78125000,1835.00000000
77.42497371,31.78125000,1812.80000000
77.42233391,31.78125000,1793.20000000
77.41969411,31.78125000,1788.60000000
77.41705431,31.78125000,1795.70000000
77.41441451,31.78125000,1765.70000000
77.41177471,31.78125000,1742.70000000
77.40913491,31.78125000,1725.40000000
77.40649511,31.78125000,1725.40000000
77.40418563,31.78021844,1722.40000000
77.40190997,31.77908129,1716.70000000
77.39963430,31.77794414,1679.80000000
77.39735864,31.77680699,1671.80000000
77.39508297,31.77566984,1647.30000000
77.39280731,31.77453269,1642.20000000
77.39053164,31.77339554,1623.30000000
77.38804412,31.77292000,1602.00000000
77.38540473,31.77291695,1591.30000000
77.38283518,31.77240279,1578.90000000
77.38026562,31.77188863,1566.00000000
