longitude,latitude,elevation
86.20625000,27.97291667,2967.0
86.20625000,27.95208333,3205.0
86.20625000,27.94375000,2400.0
86.20625000,27.93958333,2427.0
86.21041667,27.93541667,2358.0
86.21041667,27.91458333,2930.0
86.21041667,27.90208333,1920.0
86.22708333,27.88541667,2075.0
86.22708333,27.88125000,1434.0
86.22291667,27.87708333,1554.0
86.22291667,27.86875000,1604.0
86.22291667,27.85625000,1695.0
86.21875000,27.85208333,1328.0
86.21875000,27.84791667,1279.0
86.21875000,27.83541667,1239.0
86.22708333,27.82708333,1149.0
86.22708333,27.81875000,1138.0
86.22708333,27.81041667,1183.0
86.21875000,27.80208333,1167.0
86.21875000,27.79791667,1131.0
86.21458333,27.79375000,1077.0
86.21458333,27.78958333,1133.0
86.20625000,27.78125000,1044.0
86.20625000,27.77708333,1121.0
86.20208333,27.77291667,1064.0
86.20208333,27.76875000,1054.0
86.19791667,27.76458333,1122.0
86.19791667,27.76041667,1035.0
86.19375000,27.75625000,1119.0
86.18958333,27.75625000,1013.0
86.18125000,27.74791667,1023.0
86.17708333,27.74791667,988.0
86.16458333,27.73541667,952.0
86.16041667,27.73125000,949.0
86.16041667,27.72708333,996.0
86.15208333,27.71875000,935.0
86.15208333,27.71458333,1064.0
86.14791667,27.71041667,974.0
86.14791667,27.70625000,1036.0
86.14375000,27.70208333,1008.0
86.13958333,27.70208333,977.0
86.13541667,27.69791667,937.0
86.13125000,27.69375000,909.0
86.12708333,27.69375000,928.0
86.12291667,27.68958333,952.0
86.11875000,27.68541667,908.0
86.11458333,27.68541667,948.0
86.11041667,27.68125000,886.0
86.10625000,27.68125000,908.0
86.10208333,27.67708333,900.0
86.08958333,27.66458333,903.0
86.08958333,27.66041667,914.0
86.08958333,27.65208333,987.0
86.08541667,27.64791667,920.0
86.08541667,27.64375000,904.0
86.08541667,27.63541667,875.0
86.08125000,27.63125000,910.0
86.08125000,27.62291667,895.0
86.07708333,27.61875000,856.0
86.07708333,27.61458333,915.0
86.07708333,27.60625000,893.0
86.08125000,27.60208333,935.0
86.08125000,27.58125000,798.0
86.08541667,27.57708333,866.0
86.08541667,27.56875000,794.0
86.08541667,27.56041667,731.0
86.08541667,27.54791667,763.0
86.08125000,27.54375000,696.0
86.08125000,27.53958333,684.0
86.08541667,27.53541667,824.0
86.08541667,27.53125000,674.0
86.08541667,27.52708333,672.0
86.08541667,27.51041667,653.0
86.09375000,27.50208333,653.0
86.11458333,27.48125000,622.0
86.11458333,27.47708333,588.0
86.11041667,27.47291667,603.0
86.11041667,27.46041667,574.0
86.11041667,27.45208333,586.0
86.10625000,27.44791667,564.0
86.10625000,27.44375000,572.0
86.10208333,27.43958333,578.0
86.09791667,27.43958333,532.0
86.08541667,27.42708333,562.0
86.08541667,27.42291667,542.0
86.08541667,27.41875000,513.0
86.08125000,27.41458333,507.0
86.07708333,27.41041667,503.0
86.07291667,27.41041667,505.0
86.06458333,27.40208333,506.0
86.06458333,27.39791667,506.0
86.05208333,27.38541667,493.0
86.04791667,27.38541667,488.0
86.04375000,27.38125000,485.0
86.03958333,27.38125000,501.0
86.03541667,27.37708333,498.0
86.03125000,27.37708333,483.0
86.02708333,27.37291667,480.0
86.02291667,27.37708333,488.0
86.00625000,27.37708333,474.0
86.00208333,27.37291667,469.0
85.99791667,27.37291667,479.0
85.98958333,27.36458333,487.0
85.98958333,27.36041667,526.0
85.98541667,27.35625000,477.0
85.98541667,27.35208333,522.0
85.98125000,27.35208333,466.0
