longitude,latitude,elevation
83.79375000,28.88125000,2889.0
83.79375000,28.87708333,2877.0
83.79791667,28.87291667,2916.0
83.79375000,28.86875000,2863.0
83.79375000,28.86041667,2935.0
83.78958333,28.85625000,2846.0
83.78958333,28.85208333,2843.0
83.78541667,28.84791667,2836.0
83.78541667,28.83958333,2836.0
83.78125000,28.83541667,2819.0
83.78125000,28.83125000,2817.0
83.76875000,28.81875000,2834.0
83.76875000,28.81458333,2810.0
83.76458333,28.81041667,2782.0
83.76458333,28.80625000,2790.0
83.76458333,28.80208333,2792.0
83.75208333,28.78958333,2754.0
83.74791667,28.78958333,2753.0
83.74375000,28.78541667,2744.0
83.73125000,28.78541667,2746.0
83.72708333,28.78125000,2741.0
83.72291667,28.77708333,2746.0
83.71875000,28.77708333,2720.0
83.71458333,28.77291667,2718.0
83.71041667,28.76875000,2700.0
83.70625000,28.76875000,2696.0
83.69791667,28.76041667,2684.0
83.69791667,28.75625000,2689.0
83.69375000,28.75208333,2689.0
83.68125000,28.73958333,2643.0
83.68125000,28.73541667,2651.0
83.67708333,28.73125000,2634.0
83.67708333,28.72708333,2629.0
83.67291667,28.72291667,2674.0
83.66875000,28.72291667,2636.0
83.66041667,28.71458333,2599.0
83.65625000,28.71041667,2596.0
83.65208333,28.71041667,2588.0
83.64791667,28.70625000,2591.0
83.64375000,28.70625000,2579.0
83.63958333,28.70625000,2580.0
83.63125000,28.69791667,2560.0
83.62708333,28.69791667,2562.0
83.62708333,28.69375000,2557.0
83.61875000,28.68541667,2542.0
83.60625000,28.67291667,2528.0
83.60208333,28.67291667,2530.0
83.59791667,28.67291667,2591.0
83.59375000,28.66875000,2519.0
83.59375000,28.66458333,2516.0
83.59375000,28.65208333,2513.0
83.59791667,28.64791667,2550.0
83.60208333,28.64375000,2482.0
83.60625000,28.63958333,2490.0
83.61041667,28.63958333,2531.0
83.61875000,28.63125000,2340.0
83.62291667,28.62708333,2306.0
83.62708333,28.62708333,2296.0
83.63125000,28.62291667,2155.0
83.63541667,28.62291667,2135.0
83.63958333,28.61875000,2062.0
