longitude,latitude,elevation
84.26416666666667,28.55138888888889,2605.0
84.26444444444445,28.55166666666667,2602.0
84.26472222222222,28.551944444444445,2595.0
84.26472222222222,28.552222222222223,2588.0
84.26472222222222,28.5525,2583.0
84.265,28.5525,2583.0
84.26527777777778,28.5525,2585.0
84.26555555555557,28.5525,2584.0
84.26583333333333,28.5525,2582.0
84.26611111111112,28.5525,2578.0
84.2663888888889,28.55277777777778,2572.0
84.26666666666667,28.55277777777778,2568.0
84.26694444444445,28.5525,2566.0
84.26722222222223,28.5525,2565.0
84.2675,28.552222222222223,2561.0
84.26777777777778,28.552222222222223,2562.0
84.26805555555556,28.552222222222223,2561.0
84.26833333333333,28.552222222222223,2560.0
84.26861111111111,28.552222222222223,2562.0
84.2688888888889,28.552222222222223,2563.0
84.26916666666666,28.552222222222223,2565.0
84.26944444444445,28.552222222222223,2562.0
84.26972222222223,28.552222222222223,2559.0
84.27,28.552222222222223,2558.0
84.27027777777778,28.5525,2557.0
84.27055555555556,28.5525,2554.0
84.27083333333334,28.5525,2552.0
84.27111111111111,28.55277777777778,2552.0
84.2713888888889,28.55277777777778,2552.0
84.27166666666668,28.553055555555556,2549.0
84.27194444444444,28.553055555555556,2550.0
84.27222222222223,28.553055555555556,2547.0
84.27250000000001,28.553055555555556,2546.0
84.27277777777778,28.55277777777778,2546.0
84.27305555555556,28.553055555555556,2545.0
84.27333333333334,28.553055555555556,2545.0
84.27361111111111,28.553333333333335,2544.0
84.27388888888889,28.553333333333335,2542.0
84.27416666666667,28.553333333333335,2538.0
84.27444444444444,28.553333333333335,2538.0
84.27472222222222,28.553333333333335,2537.0
84.275,28.553333333333335,2537.0
84.27527777777777,28.553333333333335,2536.0
84.27555555555556,28.553611111111113,2533.0
84.27583333333334,28.553611111111113,2530.0
84.27611111111112,28.553888888888892,2526.0
84.27638888888889,28.554166666666667,2526.0
84.27666666666667,28.554166666666667,2524.0
84.27694444444445,28.554166666666667,2523.0
84.27722222222222,28.554166666666667,2523.0
84.2775,28.554166666666667,2524.0
84.27777777777779,28.553888888888892,2526.0
84.27805555555555,28.553888888888892,2523.0
84.27833333333334,28.553888888888892,2522.0
84.27861111111112,28.553611111111113,2523.0
84.27888888888889,28.553611111111113,2520.0
84.27916666666667,28.553333333333335,2521.0
84.27944444444445,28.553055555555556,2520.0
84.27972222222222,28.55277777777778,2515.0
84.28,28.5525,2516.0
84.28027777777778,28.552222222222223,2519.0
84.28055555555555,28.551944444444445,2522.0
84.28083333333333,28.551944444444445,2518.0
84.28111111111112,28.55166666666667,2517.0
84.2813888888889,28.55138888888889,2516.0
84.28166666666667,28.551111111111112,2515.0
84.28194444444445,28.551111111111112,2513.0
84.28222222222223,28.550833333333333,2514.0
84.2825,28.550833333333333,2512.0
84.28277777777778,28.550833333333333,2513.0
84.28305555555556,28.550833333333333,2514.0
84.28333333333333,28.550833333333333,2511.0
84.28361111111111,28.550833333333333,2507.0
84.2838888888889,28.551111111111112,2509.0
84.28416666666666,28.55138888888889,2513.0
84.28444444444445,28.55166666666667,2512.0
84.28472222222223,28.551944444444445,2515.0
84.285,28.552222222222223,2505.0
84.28527777777778,28.552222222222223,2502.0
84.28555555555556,28.552222222222223,2505.0
84.28583333333333,28.5525,2500.0
84.28611111111111,28.5525,2504.0
84.2863888888889,28.5525,2505.0
84.28666666666668,28.5525,2501.0
84.28694444444444,28.5525,2500.0
84.28722222222223,28.552222222222223,2499.0
84.28750000000001,28.552222222222223,2497.0
84.28777777777778,28.552222222222223,2499.0
84.28805555555556,28.552222222222223,2495.0
84.28833333333334,28.552222222222223,2492.0
84.28861111111111,28.552222222222223,2498.0
84.28888888888889,28.551944444444445,2492.0
84.28916666666667,28.551944444444445,2495.0
84.28944444444444,28.551944444444445,2498.0
84.28972222222222,28.55166666666667,2487.0
84.29,28.55138888888889,2495.0
84.29027777777777,28.551111111111112,2505.0
84.29055555555556,28.551111111111112,2502.0
84.29083333333334,28.550833333333333,2498.0
84.2911111111111,28.55055555555556,2495.0
84.29138888888889,28.55055555555556,2484.0
84.29166666666667,28.55055555555556,2483.0
84.29194444444445,28.55027777777778,2482.0
84.29222222222222,28.55027777777778,2485.0
84.2925,28.55027777777778,2487.0
84.29277777777779,28.55,2476.0
84.29305555555555,28.55,2478.0
84.29333333333334,28.55,2483.0
84.29361111111112,28.549722222222226,2469.0
84.29388888888889,28.549444444444447,2481.0
84.29416666666667,28.549166666666668,2487.0
84.29444444444445,28.54888888888889,2477.0
84.29472222222222,28.54888888888889,2468.0
84.295,28.54888888888889,2462.0
84.29527777777778,28.54888888888889,2458.0
84.29555555555555,28.54861111111111,2455.0
84.29583333333333,28.54861111111111,2452.0
84.29611111111112,28.54861111111111,2449.0
84.29638888888888,28.548333333333336,2451.0
84.29666666666667,28.548333333333336,2445.0
84.29694444444445,28.548333333333336,2442.0
84.29722222222223,28.548333333333336,2440.0
84.2975,28.548055555555557,2439.0
84.29777777777778,28.547777777777775,2436.0
84.29805555555556,28.547777777777775,2436.0
84.29833333333333,28.547500000000003,2436.0
