longitude,latitude,elevation
85.98541667,28.16041667,3707.0
85.98541667,28.14791667,3661.0
85.98125000,28.14375000,3721.0
85.97708333,28.14375000,3717.0
85.97291667,28.13958333,3625.0
85.97708333,28.13541667,3597.0
85.98125000,28.13125000,3581.0
85.98541667,28.13125000,3772.0
85.98958333,28.12708333,3483.0
85.98958333,28.12291667,3487.0
85.99791667,28.11458333,3546.0
85.99791667,28.08125000,3193.0
85.99791667,28.06041667,3412.0
85.99375000,28.05625000,3189.0
85.99375000,28.04375000,3454.0
85.98541667,28.03541667,2695.0
85.98541667,28.03125000,2666.0
85.98125000,28.02708333,2733.0
85.98125000,28.02291667,2512.0
85.97708333,28.01875000,2655.0
85.97708333,28.01458333,2413.0
85.97291667,28.01041667,2430.0
85.97291667,27.98541667,2104.0
85.96458333,27.97708333,1888.0
85.96458333,27.97291667,1759.0
85.96041667,27.96875000,1670.0
85.95208333,27.96041667,1800.0
85.95208333,27.95625000,1742.0
85.94791667,27.95208333,2081.0
85.94791667,27.94791667,1758.0
85.94375000,27.94375000,1637.0
85.93958333,27.93958333,1711.0
85.93541667,27.93541667,1591.0
85.93541667,27.93125000,1497.0
85.93125000,27.92708333,1485.0
85.93125000,27.92291667,1411.0
85.91875000,27.91041667,1491.0
85.91875000,27.90625000,1265.0
85.91458333,27.90208333,1380.0
85.91458333,27.88958333,1306.0
85.91041667,27.88541667,1281.0
85.90625000,27.88125000,1178.0
85.90208333,27.88125000,1398.0
85.89791667,27.87708333,1139.0
85.88958333,27.87708333,1235.0
85.88541667,27.87291667,1213.0
85.88125000,27.87291667,1103.0
85.88125000,27.86875000,1126.0
85.87708333,27.86458333,1065.0
85.87708333,27.85625000,1031.0
85.88125000,27.85208333,1174.0
85.88125000,27.84375000,1108.0
85.86875000,27.83125000,970.0
85.88125000,27.81875000,981.0
85.88125000,27.81458333,924.0
85.89375000,27.80208333,906.0
85.89791667,27.79791667,989.0
85.89791667,27.78541667,855.0
85.89375000,27.78125000,897.0
85.88125000,27.76875000,870.0
85.88125000,27.76458333,885.0
85.87708333,27.76458333,794.0
85.86875000,27.75625000,851.0
85.86458333,27.75625000,762.0
85.84791667,27.75625000,762.0
85.83125000,27.75625000,752.0
85.82708333,27.75208333,760.0
85.81875000,27.75208333,818.0
85.81458333,27.74791667,783.0
85.80625000,27.74791667,709.0
85.80208333,27.74375000,761.0
85.80208333,27.73958333,840.0
85.79791667,27.73541667,710.0
85.78541667,27.73541667,750.0
85.78125000,27.73125000,802.0
85.77708333,27.72708333,717.0
85.77708333,27.72291667,695.0
85.77291667,27.71875000,667.0
85.76458333,27.71041667,673.0
85.76458333,27.70625000,732.0
85.76041667,27.70208333,775.0
85.75625000,27.70208333,663.0
85.73958333,27.68541667,702.0
85.73541667,27.68125000,736.0
85.73125000,27.68125000,697.0
85.73125000,27.66875000,681.0
85.72291667,27.66041667,709.0
85.71875000,27.66041667,639.0
85.71458333,27.65625000,627.0
85.71458333,27.65208333,705.0
85.71875000,27.64791667,768.0
85.71458333,27.64375000,687.0
85.71041667,27.63958333,670.0
85.71041667,27.63541667,622.0
85.71041667,27.63125000,623.0
85.71458333,27.62708333,660.0
85.71458333,27.62291667,617.0
85.71875000,27.61875000,702.0
85.71875000,27.61458333,624.0
85.72291667,27.61041667,663.0
85.72291667,27.60625000,616.0
85.72708333,27.60208333,677.0
85.71875000,27.59375000,617.0
85.72291667,27.58958333,611.0
85.72708333,27.58958333,609.0
85.73125000,27.58541667,611.0
85.73125000,27.57708333,605.0
85.73541667,27.57291667,614.0
85.73541667,27.56458333,598.0
85.74375000,27.55625000,610.0
85.74791667,27.55625000,621.0
85.75625000,27.54791667,586.0
85.76041667,27.54791667,692.0
85.76458333,27.54375000,612.0
85.77708333,27.54375000,582.0
85.78125000,27.53958333,608.0
85.78125000,27.53125000,599.0
85.79375000,27.51875000,594.0
85.79375000,27.51458333,591.0
85.79375000,27.51041667,576.0
85.79791667,27.50625000,665.0
85.79791667,27.50208333,578.0
85.80208333,27.49791667,702.0
85.80208333,27.49375000,565.0
85.80625000,27.48958333,577.0
85.80625000,27.48125000,587.0
85.81041667,27.47708333,557.0
85.81458333,27.47291667,562.0
85.81458333,27.46458333,550.0
85.81041667,27.46041667,566.0
85.81041667,27.45625000,548.0
85.81458333,27.45208333,543.0
85.81875000,27.45208333,549.0
85.83958333,27.43125000,523.0
85.84375000,27.43125000,521.0
85.85208333,27.42291667,517.0
85.86458333,27.42291667,541.0
85.86875000,27.41875000,511.0
85.88125000,27.41875000,519.0
85.88541667,27.41875000,511.0
85.88958333,27.41458333,508.0
85.89375000,27.41458333,501.0
85.89791667,27.41458333,509.0
85.90208333,27.41458333,511.0
85.90625000,27.41041667,520.0
85.91458333,27.41041667,565.0
85.92291667,27.40208333,495.0
85.92708333,27.39791667,489.0
85.93125000,27.39791667,491.0
85.93541667,27.39375000,598.0
85.93541667,27.38958333,493.0
85.94375000,27.38125000,485.0
85.94791667,27.38125000,482.0
85.95625000,27.38958333,479.0
85.96041667,27.38958333,503.0
85.96458333,27.38541667,475.0
85.96875000,27.38125000,492.0
85.96875000,27.37708333,481.0
85.97291667,27.37291667,484.0
85.97708333,27.37291667,481.0
85.97708333,27.35625000,496.0
